time,t,data/C714_1.csv
2012 W42,2012/10/21,0.006125939
2012 W43,2012/10/28,0.006968983
2012 W44,2012/11/4,0.014206988
2012 W45,2012/11/11,0.022160889
2012 W46,2012/11/18,0.040837587
2012 W47,2012/11/25,0.044802583
2012 W48,2012/12/2,0.043480373
2012 W49,2012/12/9,0.041510678
2012 W50,2012/12/16,0.067948537
2012 W51,2012/12/23,0.107792426
2012 W52,2012/12/30,0.218877253
2013 W01,2013/1/6,0.282360409
2013 W02,2013/1/13,0.387700983
2013 W03,2013/1/20,0.402245493
2013 W04,2013/1/27,0.421387681
2013 W05,2013/2/3,0.468971041
2013 W06,2013/2/10,0.4625985
2013 W07,2013/2/17,0.360175891
2013 W08,2013/2/24,0.267270276
2013 W09,2013/3/3,0.185788106
2013 W10,2013/3/10,0.139869639
2013 W11,2013/3/17,0.090852966
2013 W12,2013/3/24,0.062216849
2013 W13,2013/3/31,0.036249823
2013 W14,2013/4/7,0.029642123
2013 W15,2013/4/14,0.034206938
2013 W16,2013/4/21,0.037649451
2013 W17,2013/4/28,0.02963895
2013 W18,2013/5/5,0.013096571
2013 W19,2013/5/12,0.030746368
2013 W20,2013/5/19,0.027925038
2013 W21,2013/5/26,0.021341935
2013 W22,2013/6/2,0.018967881
2013 W23,2013/6/9,0.003366757
2013 W24,2013/6/16,0.002737725
2013 W25,2013/6/23,0.002274777
2013 W26,2013/6/30,0.003427493
2013 W27,2013/7/7,0.004634765
2013 W28,2013/7/14,0.00394997
2013 W29,2013/7/21,0.009751991
2013 W30,2013/7/28,0.016664234
2013 W31,2013/8/4,0.022020258
2013 W32,2013/8/11,0.022785405
2013 W33,2013/8/18,0.013174644
2013 W34,2013/8/25,0.001829234
2013 W35,2013/9/1,0.001783486
2013 W36,2013/9/8,0.001731487
2013 W37,2013/9/15,0.001681477
2013 W38,2013/9/22,0.001312448
2013 W39,2013/9/29,0.002159569
2013 W40,2013/10/6,0.004200276
2013 W41,2013/10/13,0.003351771
2013 W42,2013/10/20,0.001155008
2013 W43,2013/10/27,0
2013 W44,2013/11/3,0
2013 W45,2013/11/10,0.006727512
2013 W46,2013/11/17,0.005706002
2013 W47,2013/11/24,8.66E-04
2013 W48,2013/12/1,0
2013 W49,2013/12/8,0.00512661
2013 W50,2013/12/15,0.008971568
2013 W51,2013/12/22,0.011875557
2013 W52,2013/12/29,0.024070225
2014 W01,2014/1/5,0.04454685
2014 W02,2014/1/12,0.06078475
2014 W03,2014/1/19,0.083180981
2014 W04,2014/1/26,0.135432886
2014 W05,2014/2/2,0.190529961
2014 W06,2014/2/9,0.320377466
2014 W07,2014/2/16,0.414086963
2014 W08,2014/2/23,0.483142904
2014 W09,2014/3/2,0.469231036
2014 W10,2014/3/9,0.441072624
2014 W11,2014/3/16,0.425832326
2014 W12,2014/3/23,0.355873186
2014 W13,2014/3/30,0.320401618
2014 W14,2014/4/6,0.191833701
2014 W15,2014/4/13,0.160583344
2014 W16,2014/4/20,0.157056677
2014 W17,2014/4/27,0.162678309
2014 W18,2014/5/4,0.188036282
2014 W19,2014/5/11,0.192664478
2014 W20,2014/5/18,0.165799742
2014 W21,2014/5/25,0.16473845
2014 W22,2014/6/1,0.11703859
2014 W23,2014/6/8,0.08309602
2014 W24,2014/6/15,0.057643619
2014 W25,2014/6/22,0.046161756
2014 W26,2014/6/29,0.033920439
2014 W27,2014/7/6,0.010039253
2014 W28,2014/7/13,0.008601182
2014 W29,2014/7/20,0.009257137
2014 W30,2014/7/27,0.014320647
2014 W31,2014/8/3,0.013713794
2014 W32,2014/8/10,0.011589806
2014 W33,2014/8/17,0.005663677
2014 W34,2014/8/24,0.003237469
2014 W35,2014/8/31,0.005205349
2014 W36,2014/9/7,0.012995234
2014 W37,2014/9/14,0.015881091
2014 W38,2014/9/21,0.009862366
2014 W39,2014/9/28,0.011229121
2014 W40,2014/10/5,0.010454108
2014 W41,2014/10/12,0.010336788
2014 W42,2014/10/19,0.014512611
2014 W43,2014/10/26,0.015109157
2014 W44,2014/11/2,0.007413255
2014 W45,2014/11/9,0.00379724
2014 W46,2014/11/16,0.002643033
2014 W47,2014/11/23,0.003150236
2014 W48,2014/11/30,0.004987108
2014 W49,2014/12/7,0.008332997
2014 W50,2014/12/14,0.011217451
2014 W51,2014/12/21,0.01473557
2014 W52,2014/12/28,0.018458405
2015 W01,2015/1/4,0.022116237
2015 W02,2015/1/11,0.031684979
2015 W03,2015/1/18,0.047137836
2015 W04,2015/1/25,0.09082171
2015 W05,2015/2/1,0.186774098
2015 W06,2015/2/8,0.290501475
2015 W07,2015/2/15,0.449772608
2015 W08,2015/2/22,0.465128892
2015 W09,2015/3/1,0.459384611
2015 W10,2015/3/8,0.383525011
2015 W11,2015/3/15,0.285827957
2015 W12,2015/3/22,0.2425814
2015 W13,2015/3/29,0.121372551
2015 W14,2015/4/5,0.077869409
2015 W15,2015/4/12,0.073100844
2015 W16,2015/4/19,0.028985384
2015 W17,2015/4/26,0.03184055
2015 W18,2015/5/3,0.055544073
2015 W19,2015/5/10,0.093394667
2015 W20,2015/5/17,0.139356964
2015 W21,2015/5/24,0.150720063
2015 W22,2015/5/31,0.152343363
2015 W23,2015/6/7,0.130148451
2015 W24,2015/6/14,0.091409363
2015 W25,2015/6/21,0.107314262
2015 W26,2015/6/28,0.131153715
2015 W27,2015/7/5,0.113609922
2015 W28,2015/7/12,0.11316992
2015 W29,2015/7/19,0.120601113
2015 W30,2015/7/26,0.062253775
2015 W31,2015/8/2,0.046904486
2015 W32,2015/8/9,0.03205359
2015 W33,2015/8/16,0.022605129
2015 W34,2015/8/23,0.015980424
2015 W35,2015/8/30,0.011942332
2015 W36,2015/9/6,0.017866987
2015 W37,2015/9/13,0.021692857
2015 W38,2015/9/20,0.010417781
2015 W39,2015/9/27,0.006734886
2015 W40,2015/10/4,0.010759567
2015 W41,2015/10/11,0.012233583
2015 W42,2015/10/18,0.010816561
2015 W43,2015/10/25,0.009163368
2015 W44,2015/11/1,0.008776785
2015 W45,2015/11/8,0.009192493
2015 W46,2015/11/15,0.009056181
2015 W47,2015/11/22,0.008101998
2015 W48,2015/11/29,0.008115574
2015 W49,2015/12/6,0.008299559
2015 W50,2015/12/13,0.008325843
2015 W51,2015/12/20,0.008272802
2015 W52,2015/12/27,0.007784416
2015 W53,2016/1/3,0.007121893
2016 W01,2016/1/10,0.005973337
2016 W02,2016/1/17,0.004380389
2016 W03,2016/1/24,0.00522816
2016 W04,2016/1/31,0.005947527
2016 W05,2016/2/7,0.005891053
2016 W06,2016/2/14,0.008136174
2016 W07,2016/2/21,0.013624308
2016 W08,2016/2/28,0.023130644
2016 W09,2016/3/6,0.03698625
2016 W10,2016/3/13,0.066066485
2016 W11,2016/3/20,0.120998329
2016 W12,2016/3/27,0.281130997
2016 W13,2016/4/3,0.331814763
2016 W14,2016/4/10,0.444008378
2016 W15,2016/4/17,0.468989134
2016 W16,2016/4/24,0.472636546
2016 W17,2016/5/1,0.533926334
2016 W18,2016/5/8,0.517204076
2016 W19,2016/5/15,0.535676115
2016 W20,2016/5/22,0.563717831
2016 W21,2016/5/29,0.581481184
2016 W22,2016/6/5,0.586985597
2016 W23,2016/6/12,0.526915844
2016 W24,2016/6/19,0.403928181
2016 W25,2016/6/26,0.301389301
2016 W26,2016/7/3,0.190612222
2016 W27,2016/7/10,0.141829049
2016 W28,2016/7/17,0.12381409
2016 W29,2016/7/24,0.055423805
2016 W30,2016/7/31,0.04486632
2016 W31,2016/8/7,0.018205968
2016 W32,2016/8/14,0.005513421
2016 W33,2016/8/21,0.008712284
2016 W34,2016/8/28,0.011432997
2016 W35,2016/9/4,0.010369788
2016 W36,2016/9/11,0.007888966
2016 W37,2016/9/18,0.009578929
2016 W38,2016/9/25,0.01117269
2016 W39,2016/10/2,0.006948069
2016 W40,2016/10/9,0.006918234
2016 W41,2016/10/16,0.006866237
2016 W42,2016/10/23,0.006813812
2016 W43,2016/10/30,0.00668967
2016 W44,2016/11/6,0.006503746
2016 W45,2016/11/13,0.018832201
2016 W46,2016/11/20,0.016689525
2016 W47,2016/11/27,0.010466997
2016 W48,2016/12/4,0.007436562
2016 W49,2016/12/11,0.005258327
2016 W50,2016/12/18,0.011074235
2016 W51,2016/12/25,0.012631617
2016 W52,2016/12/31,0.023393007
