t,data
2017/1/1,16.37133418
2017/2/1,13.30772353
2017/3/1,13.13605728
2017/4/1,9.236568494
2017/5/1,6.076699324
2017/6/1,2.676822221
2017/7/1,9.920545954
2017/8/1,16.29359106
2017/9/1,23.7084695
2017/10/1,21.93675422
2017/11/1,6.93309182
2017/12/1,14.39430485
2018/1/1,16.08031166
2018/2/1,19.56645074
2018/3/1,18.66582406
2018/4/1,14.62235133
2018/5/1,8.713791296
2018/6/1,3.70204364
2018/7/1,6.153999461
2018/8/1,12.38208704
2018/9/1,22.29699248
2018/10/1,14.56390732
2018/11/1,7.618825991
2018/12/1,17.27150097
2019/1/1,28.17030847
2019/2/1,21.20061517
2019/3/1,21.26517962
2019/4/1,9.334158123
2019/5/1,0.369446343
2019/6/1,0.381154182
2019/7/1,1.246548189
2019/8/1,9.209569792
2019/9/1,13.4112786
2019/10/1,11.24916382
2019/11/1,2.060999902
2019/12/1,17.55840501
