t,data
2018/12/1,18.79027424
2019/1/1,18.3109908
2019/2/1,9.922373278
2019/3/1,9.948450759
2019/4/1,2.928683146
2019/5/1,1.020428876
2019/6/1,0.098683733
2019/7/1,0.143343715
2019/8/1,2.537414249
2019/9/1,1.609107726
2019/10/1,6.827325232
2019/11/1,7.8254038
2019/12/1,17.00545891
2020/1/1,17.89128308
2020/2/1,5.958445626
2020/3/1,1.698668414
2020/4/1,0.10889685
2020/5/1,0.445796699
2020/6/1,0.37147589
2020/7/1,0.295294758
2020/8/1,0.366463865
2020/9/1,2.120717048
2020/10/1,5.709850439
2020/11/1,3.784476321
2020/12/1,8.389644528
2021/1/1,14.32737992
2021/2/1,9.753525013
2021/3/1,7.401404306
2021/4/1,6.539344501
2021/5/1,4.629043319
2021/6/1,2.519789166
2021/7/1,9.775751418
2021/8/1,21.69710753
2021/9/1,18.53252384
2021/10/1,18.37458484
2021/11/1,11.4144225
2021/12/1,15.78369628
2022/1/1,14.34769727
2022/2/1,11.07404401
